label,region,combo,model,beta,gamma,strategy,budget,coverage,efficacy,tau,horizon,seed,spearman_deg_btw,n_anomalous,peak_infected,time_to_peak,final_infected,total_population,vaccinated,final_recovered
sir_betweenness_cov75_seed2_715165,europe,air+land+water,sir,1.95,0.13,betweenness,5,0.75,0.85,0.0002,1460,2,0.741,17,195245083,17,0,342070105,24670218,316842301.0
sir_betweenness_cov75_seed2_765860,europe,air+land+water,sir,1.95,0.13,betweenness,120,0.75,0.85,0.0002,1460,2,0.741,17,157032170,17,0,342070105,83191868,258320650.0
sir_betweenness_cov75_seed2_9a93e2,europe,air+land+water,sir,1.95,0.13,betweenness,30,0.75,0.85,0.0002,1460,2,0.741,17,176197681,17,0,342070105,51424219,290088299.0
sir_control_seed0_9b0a0e,europe,air+land+water,sir,1.95,0.13,control,0,0.0,0.0,0.0002,1460,0,0.741,17,215471041,16,0,342070105,0,341512519.0
sir_control_seed1_ab5c11,europe,air+land+water,sir,1.95,0.13,control,0,0.0,0.0,0.0002,1460,1,0.741,17,210356940,18,0,342070105,0,341512519.0
sir_control_seed2_6b4ece,europe,air+land+water,sir,1.95,0.13,control,0,0.0,0.0,0.0002,1460,2,0.741,17,213423737,17,0,342070105,0,341512518.0
sir_degree_cov75_seed0_bd9679,europe,air+land+water,sir,1.95,0.13,degree,15,0.75,0.85,0.0002,1460,0,0.741,17,198669968,16,0,342070105,24012258,317500261.0
sir_degree_cov75_seed1_1e594f,europe,air+land+water,sir,1.95,0.13,degree,15,0.75,0.85,0.0002,1460,1,0.741,17,193326867,18,0,342070105,24012258,317500261.0
sir_degree_cov75_seed2_3febba,europe,air+land+water,sir,1.95,0.13,degree,15,0.75,0.85,0.0002,1460,2,0.741,17,195665861,17,0,342070105,24012258,317500260.0
sir_random_cov75_seed0_a6f9b7,europe,air+land+water,sir,1.95,0.13,random,15,0.75,0.85,0.0002,1460,0,0.741,17,214303404,16,0,342070105,2840806,338671713.0
sir_random_cov75_seed1_b094fa,europe,air+land+water,sir,1.95,0.13,random,15,0.75,0.85,0.0002,1460,1,0.741,17,205966128,18,0,342070105,7007310,334505209.0
sir_random_cov75_seed2_85bf40,europe,air+land+water,sir,1.95,0.13,random,15,0.75,0.85,0.0002,1460,2,0.741,17,206769801,17,0,342070105,7908149,333604369.0
sir_subgraph_cov75_seed0_1ee039,europe,air+land+water,sir,1.95,0.13,subgraph,15,0.75,0.85,0.0002,1460,0,0.741,17,198847773,16,0,342070105,23696061,317816458.0
sir_subgraph_cov75_seed1_41c2fa,europe,air+land+water,sir,1.95,0.13,subgraph,15,0.75,0.85,0.0002,1460,1,0.741,17,193565001,18,0,342070105,23696061,317816458.0
sir_subgraph_cov75_seed2_faa617,europe,air+land+water,sir,1.95,0.13,subgraph,15,0.75,0.85,0.0002,1460,2,0.741,17,195965199,17,0,342070105,23696061,317816456.0
sir_betweenness_cov75_seed0_c6593e,europe,air+water,sir,1.95,0.13,betweenness,15,0.75,0.85,0.0002,1460,0,0.85,16,95346853,31,0,212073182,34737055,174621018.0
sir_betweenness_cov75_seed1_7311e6,europe,air+water,sir,1.95,0.13,betweenness,15,0.75,0.85,0.0002,1460,1,0.85,16,102499757,16,0,212073182,34737055,174621017.0
sir_betweenness_cov75_seed2_2cc1bd,europe,air+water,sir,1.95,0.13,betweenness,15,0.75,0.85,0.0002,1460,2,0.85,16,323277,11,0,212073182,34737055,468765.0
sir_control_seed0_3acb13,europe,air+water,sir,1.95,0.13,control,0,0.0,0.0,0.0002,1460,0,0.85,16,117017089,31,0,212073182,0,209358072.0
sir_control_seed1_e302bd,europe,air+water,sir,1.95,0.13,control,0,0.0,0.0,0.0002,1460,1,0.85,16,122343824,17,0,212073182,0,209358072.0
sir_control_seed2_9769ba,europe,air+water,sir,1.95,0.13,control,0,0.0,0.0,0.0002,1460,2,0.85,16,323277,11,0,212073182,0,468765.0
sir_degree_cov75_seed0_80e281,europe,air+water,sir,1.95,0.13,degree,15,0.75,0.85,0.0002,1460,0,0.85,16,102167903,31,0,212073182,24012258,185345814.0
sir_degree_cov75_seed1_2d84d9,europe,air+water,sir,1.95,0.13,degree,15,0.75,0.85,0.0002,1460,1,0.85,16,106463511,17,0,212073182,24012258,185345814.0
sir_degree_cov75_seed2_9c6378,europe,air+water,sir,1.95,0.13,degree,15,0.75,0.85,0.0002,1460,2,0.85,16,323277,11,0,212073182,24012258,468765.0
sir_random_cov75_seed0_7a0f85,europe,air+water,sir,1.95,0.13,random,15,0.75,0.85,0.0002,1460,0,0.85,16,115100900,31,0,212073182,2947998,206671749.0
sir_random_cov75_seed1_d0146c,europe,air+water,sir,1.95,0.13,random,15,0.75,0.85,0.0002,1460,1,0.85,16,121281211,17,0,212073182,1790917,207567155.0
sir_random_cov75_seed2_1b6ca5,europe,air+water,sir,1.95,0.13,random,15,0.75,0.85,0.0002,1460,2,0.85,16,323277,11,0,212073182,1603038,468765.0
sir_subgraph_cov75_seed0_bbc8a1,europe,air+water,sir,1.95,0.13,subgraph,15,0.75,0.85,0.0002,1460,0,0.85,16,106365110,31,0,212073182,17813462,191544611.0
sir_subgraph_cov75_seed1_bd30a2,europe,air+water,sir,1.95,0.13,subgraph,15,0.75,0.85,0.0002,1460,1,0.85,16,110580208,17,0,212073182,17813462,191544610.0
sir_subgraph_cov75_seed2_56ad5a,europe,air+water,sir,1.95,0.13,subgraph,15,0.75,0.85,0.0002,1460,2,0.85,16,323277,11,0,212073182,17813462,468765.0
