budget,peak,reduction_pct
5,194292333.33333334,8.81886061665617
15,185426802.33333334,12.979442786573781
30,176157591.66666666,17.329471299129153
60,166975151.0,21.638778763516754
120,156971096.33333334,26.333668609710326
200,145581754.33333334,31.67867200006492
